Carol Blanchard,Toni Hughes,Ruth Vollmer,,,,,,,,,,,,,,,,,,,,,,
Florence Knoll,Mrs. Truus Schroder-Schrader,,,,,,,,,,,,,,,,,,,,,,,
Mary Ann Dorr,Naomi Savage,,,,,,,,,,,,,,,,,,,,,,,
Berthe Morisot,,,,,,,,,,,,,,,,,,,,,,,,
Mary Callery,Minna R. Harkavy,Barbara Hepworth,Kathe Kollwitz,,,,,,,,,,,,,,,,,,,,,
Emmy Andriesse,Eva Besnyo,Carel Blazer,Caroline Hebbe-Hammarskiold,Sabine Weiss,,,,,,,,,,,,,,,,,,,,
Minna Citron,Katherine S. Dreier,Barbara E. Fumagalli,Barbara Hepworth,Norma G. Morgan,Leona Pierce,Carol Summers,Dorothea Tanning,Sylvia Wald,June Wayne,,,,,,,,,,,,,,,
Charlotte Perriand,,,,,,,,,,,,,,,,,,,,,,,,
Jane Dickerman,Viola Grasten,Eleanor Kluck,Lucie Rie,Trudi Sitterle,Marianne Strengell,Esther Wood,Eva Zeisel,,,,,,,,,,,,,,,,,
Carmen L. Cicero,Barbara E. Fumagalli,Hildegarde Haas,Terry Haass,Margaret Harris,Dorothy Hood,Ynez Johnston,Corita Kent (Sister Mary Corita),Mar Jean Kettunen,Louise Krueger,Ellen Lanyon,Leona Pierce,Clare Romano,Carol Summers,June Wayne,,,,,,,,,,
Carol Blanchard,Toni Hughes,Ruth Vollmer,,,,,,,,,,,,,,,,,,,,,,
Vera Liskova,Trude Petri-Raben,,,,,,,,,,,,,,,,,,,,,,,
Peggy Bacon,Dorothy Hood,Marie Laurencin,Amelia Pelaez del Casal,Jane Poupelet,Marguerite Zorach,,,,,,,,,,,,,,,,,,,
Minna Citron,Sue Fuller,Barbara E. Fumagalli,Wanda Gag,Leona Pierce,Gertrude Quastler,Carol Summers,Sylvia Wald,,,,,,,,,,,,,,,,,
Katherine S. Dreier,Grace Hartigan,Fannie Hillsmith,Frida Kahlo,Loren MacIver,Georgia O'Keeffe,Amelia Pelaez del Casal,Irene Rice Pereira,Jeanne Reynal,Anne Ryan,Elsa Schmid,Honore Sharrer,Maria Helena Vieira da Silva,Clara McDonald Williamson,,,,,,,,,,,
Felice Casorati,Kathe Kollwitz,,,,,,,,,,,,,,,,,,,,,,,
Lola Alvarez Bravo,Emmy Andriesse,Diane Arbus,Eva Besnyo,Margaret Bourke-White,Nell Dorr,Toni Frissell,Consuelo Kanaga,Dorothea Lange,Lisa Larsen,Alma R. Lavenson,Nina Leen,Helen Levitt,Lisette Model,Barbara Morgan,Ruth Orkin,Marion Palfi,Musya Sheeler,Doris Ulmann,Carmel E. Vitullo,Sabine Weiss,,,,
Emily Belding,Freda Diamond,Viola Grasten,Greta Magnusson Grossman,Greta Von Nessen,Trude Petri-Raben,Astrid Sampe,Trudi Sitterle,Esther Wood,,,,,,,,,,,,,,,,
Marion Palfi,,,,,,,,,,,,,,,,,,,,,,,,
Kathe Kollwitz,,,,,,,,,,,,,,,,,,,,,,,,
Germaine Richier,Maria Helena Vieira da Silva,,,,,,,,,,,,,,,,,,,,,,,
Janice Biala,Mary Callery,Hedda Sterne,Jane Wilson,,,,,,,,,,,,,,,,,,,,,
Vera Liskova,,,,,,,,,,,,,,,,,,,,,,,,
Sonia Delaunay-Terk,Ida E. Fischer,Theora Hamblett,Anne Ryan,Leslie Thornton,,,,,,,,,,,,,,,,,,,,
Nora Speyer,,,,,,,,,,,,,,,,,,,,,,,,
Carol Blanchard,Toni Hughes,,,,,,,,,,,,,,,,,,,,,,,
Bernarda Bryson Shahn,,,,,,,,,,,,,,,,,,,,,,,,
Nell Blaine,Carmen L. Cicero,Idelle L. Feinberg,Jane Freilicher,Irene Siegel,,,,,,,,,,,,,,,,,,,,
Grace Hartigan,,,,,,,,,,,,,,,,,,,,,,,,
Thelma Becherer,Emily Belding,Freda Diamond,Lilly E. Hoffman,Dorothy Liebes,Noemi Raymond,Ellen Siegal,Hella Skowronski,Carol Summers,Gretl Wollner,,,,,,,,,,,,,,,
Gwen John,,,,,,,,,,,,,,,,,,,,,,,,
Sandra Blow,Germaine Richier,,,,,,,,,,,,,,,,,,,,,,,
Toni Hughes,,,,,,,,,,,,,,,,,,,,,,,,
Carmen L. Cicero,Dorothy Dehner,Anna Ticho,,,,,,,,,,,,,,,,,,,,,,
Lina Bo Bardi,,,,,,,,,,,,,,,,,,,,,,,,
Helen Frankenthaler,Elizabeth McFadden,Kay Sage,Hedda Sterne,Florine Stettheimer,Charmion von Wiegand,Laura Ziegler,,,,,,,,,,,,,,,,,,
Miriam Schapiro,,,,,,,,,,,,,,,,,,,,,,,,
Kathe Kollwitz,Paula Modersohn-Becker,Renee Sintenis,,,,,,,,,,,,,,,,,,,,,,
Germaine Richier,,,,,,,,,,,,,,,,,,,,,,,,
Berenice Abbott,Alice Austen,Lisa Larsen,Helen Levitt,Lisette Model,,,,,,,,,,,,,,,,,,,,
Louise Nevelson,,,,,,,,,,,,,,,,,,,,,,,,
Berenice Abbott,Emmy Andriesse,Margaret Bourke-White,Julia Margaret Cameron,Imogen Cunningham,Hajime Daito,Mary Ann Dorr,Nell Dorr,Caroline Hebbe-Hammarskiold,Lotte Jacobi,Consuelo Kanaga,Gertrude Kaseebier,Dorothea Lange,Helen Levitt,Lisette Model,Tina Modotti,Barbara Morgan,Hajime Ohigashi,Ruth Orkin,Ann Zane Shanks,Naomi Siegler,Elizabeth Statler,Carmel E. Vitullo,Sabine Weiss,Ylla
Anni Albers,Thelma Becherer,Marianne Brandt,Gisela Clemens,Saara Hopea,Dora Jung,Francesca Lindh,Vera Liskova,Gertrud Natzler,Alice von Pechmann,Charlotte Perriand,Trude Petri-Raben,Lucie Rie,Trudi Sitterle,Nanny Still,Gunta Stolzl,Esther Wood,,,,,,,,
Tereza Nicolao,,,,,,,,,,,,,,,,,,,,,,,,
Jan Gelb,Norma G. Morgan,Carol Summers,,,,,,,,,,,,,,,,,,,,,,
Ruth Asawa,Mary Callery,Dorothy Dehner,Jean Follett,Minna R. Harkavy,Louise Krueger,Laura Ziegler,,,,,,,,,,,,,,,,,,
Grace Hartigan,,,,,,,,,,,,,,,,,,,,,,,,
Raquel Forner,Georgia O'Keeffe,,,,,,,,,,,,,,,,,,,,,,,
Coco Chanel,Elizabeth McLennan,,,,,,,,,,,,,,,,,,,,,,,
Germaine Richier,,,,,,,,,,,,,,,,,,,,,,,,
Berenice Abbott,Claudia Andujar,Ruth Bernhard,Margaret Bourke-White,Julia Margaret Cameron,Imogen Cunningham,Mary Ann Dorr,Nell Dorr,Lotte Jacobi,Consuelo Kanaga,Gertrude Kaseebier,Dorothea Lange,Helen Levitt,Lisette Model,Tina Modotti,Barbara Morgan,Marion Palfi,Ann Parker,,,,,,,
Dorothy Dehner,Gertrude Greene,Gwen John,,,,,,,,,,,,,,,,,,,,,,
Jay DeFeo,Louise Nevelson,,,,,,,,,,,,,,,,,,,,,,,
Mary Callery,Carmen L. Cicero,Grace Hartigan,Loren MacIver,Leona Pierce,Laura Ziegler,,,,,,,,,,,,,,,,,,,
Naomi Savage,,,,,,,,,,,,,,,,,,,,,,,,
Lee Bontecou,Barbara Hepworth,Louise Krueger,Sarai Sherman,Laura Ziegler,,,,,,,,,,,,,,,,,,,,
Peggy Bacon,Anna Glenny,Gwen John,Frida Kahlo,Marie Laurencin,Concetta Scaravaglione,Elsa Schmid,Florine Stettheimer,,,,,,,,,,,,,,,,,
Margaret Macdonald,Paula Modersohn-Becker,,,,,,,,,,,,,,,,,,,,,,,
Claudia Andujar,Imogen Cunningham,Lotte Jacobi,Inge Morath,Ruth Velissaratos,,,,,,,,,,,,,,,,,,,,
Carmen L. Cicero,Marie Laurencin,Georgia O'Keeffe,Amelia Pelaez del Casal,,,,,,,,,,,,,,,,,,,,,
Berenice Abbott,Claudia Andujar,Imogen Cunningham,Nell Dorr,Consuelo Kanaga,Gertrude Kaseebier,Helen Levitt,Lisette Model,Tina Modotti,Barbara Morgan,Marion Palfi,Ann Parker,,,,,,,,,,,,,
Mary Callery,,,,,,,,,,,,,,,,,,,,,,,,
