source,target,Type,Weight
Kathe Kollwitz,Charlotte Perriand,Undirected,1
Florine Stettheimer,Charlotte Perriand,Undirected,1
Alexandra Exter,Charlotte Perriand,Undirected,1
Lyubov Popova,Charlotte Perriand,Undirected,1
Hannah Hoch,Charlotte Perriand,Undirected,1
Barbara Hepworth,Charlotte Perriand,Undirected,1
Margaret Bourke-White,Charlotte Perriand,Undirected,1
Imogen Cunningham,Charlotte Perriand,Undirected,1
Anni Albers,Charlotte Perriand,Undirected,3
Marianne Brandt,Charlotte Perriand,Undirected,3
Gunta Stolzl,Charlotte Perriand,Undirected,1
Marguerite Wildenhain,Charlotte Perriand,Undirected,1
Maria Martins,Charlotte Perriand,Undirected,1
Aino Aalto,Charlotte Perriand,Undirected,1
Eva Zeisel,Charlotte Perriand,Undirected,1
Gertrud Natzler,Charlotte Perriand,Undirected,1
Tina Modotti,Charlotte Perriand,Undirected,1
Vera Liskova,Charlotte Perriand,Undirected,1
Mrs. Truus Schroder-Schrader,Charlotte Perriand,Undirected,1
Trudi Sitterle,Charlotte Perriand,Undirected,1
Trude Petri-Raben,Charlotte Perriand,Undirected,1
Lucie Rie,Charlotte Perriand,Undirected,1
Germaine Richier,Charlotte Perriand,Undirected,1
Esther Wood,Charlotte Perriand,Undirected,1
Nell Dorr,Charlotte Perriand,Undirected,1
Jane Wilson,Charlotte Perriand,Undirected,1
Sonia Delaunay-Terk,Charlotte Perriand,Undirected,1
Thelma Becherer,Charlotte Perriand,Undirected,1
Helen Frankenthaler,Charlotte Perriand,Undirected,1
Gisela Clemens,Charlotte Perriand,Undirected,1
Saara Hopea,Charlotte Perriand,Undirected,1
Dora Jung,Charlotte Perriand,Undirected,1
Francesca Lindh,Charlotte Perriand,Undirected,1
Alice von Pechmann,Charlotte Perriand,Undirected,1
Nanny Still,Charlotte Perriand,Undirected,1
Lee Bontecou,Charlotte Perriand,Undirected,1
Sarai Sherman,Charlotte Perriand,Undirected,1
Ruth Velissaratos,Charlotte Perriand,Undirected,1
