source,target,Type,Weight
June Wayne,Sylvia Gosse,Undirected,1
Pat Steir,Sylvia Gosse,Undirected,1
Mary Frank,Sylvia Gosse,Undirected,1
Jennifer Bartlett,Sylvia Gosse,Undirected,1
Susan Rothenberg,Sylvia Gosse,Undirected,1
Olga Rozanova,Sylvia Gosse,Undirected,1
Joan Snyder,Sylvia Gosse,Undirected,1
Wendela Boreel,Sylvia Gosse,Undirected,1
Martha Diamond,Sylvia Gosse,Undirected,1
Rochelle Feinstein,Sylvia Gosse,Undirected,1
Lill Tschudi,Sylvia Gosse,Undirected,1
Kathe Kollwitz,Lill Tschudi,Undirected,1
Anne Ryan,Lill Tschudi,Undirected,1
Worden Day,Lill Tschudi,Undirected,1
Carol Summers,Lill Tschudi,Undirected,1
Alice Trumbull Mason,Lill Tschudi,Undirected,1
June Wayne,Lill Tschudi,Undirected,1
Helen Frankenthaler,Lill Tschudi,Undirected,1
Pat Steir,Lill Tschudi,Undirected,1
Mary Frank,Lill Tschudi,Undirected,1
Jennifer Bartlett,Lill Tschudi,Undirected,2
Susan Rothenberg,Lill Tschudi,Undirected,2
Vera Ermolaeva,Lill Tschudi,Undirected,1
Olga Rozanova,Lill Tschudi,Undirected,1
Joan Snyder,Lill Tschudi,Undirected,1
Louisa Chase,Lill Tschudi,Undirected,1
Wendela Boreel,Lill Tschudi,Undirected,1
Martha Diamond,Lill Tschudi,Undirected,2
Rochelle Feinstein,Lill Tschudi,Undirected,1
Sylvia Gosse,Lill Tschudi,Undirected,1
Maria Bonomi,Lill Tschudi,Undirected,1
Anna Bella Geiger,Margarita D'Amico,Undirected,1
Sandra Llano-Mejia,Margarita D'Amico,Undirected,1
Lotty Rosenfeld,Margarita D'Amico,Undirected,1
Anna Bella Geiger,Sandra Llano-Mejia,Undirected,1
Margarita D'Amico,Sandra Llano-Mejia,Undirected,1
Lotty Rosenfeld,Sandra Llano-Mejia,Undirected,1
Anna Bella Geiger,Lotty Rosenfeld,Undirected,1
Margarita D'Amico,Lotty Rosenfeld,Undirected,1
Sandra Llano-Mejia,Lotty Rosenfeld,Undirected,1
Lyubov Popova,Katherine Porter,Undirected,1
Sophie Taeuber-Arp,Katherine Porter,Undirected,1
Joanna Pousette-Dart,Katherine Porter,Undirected,1
Helen Frankenthaler,Katherine Porter,Undirected,1
Louise Nevelson,Katherine Porter,Undirected,1
Agnes Martin,Katherine Porter,Undirected,2
Magdalena Abakanowicz,Katherine Porter,Undirected,1
Jo Baer,Katherine Porter,Undirected,1
Hanne Darboven,Katherine Porter,Undirected,1
Dorothea Rockburne,Katherine Porter,Undirected,1
Alice Aycock,Katherine Porter,Undirected,1
Yvonne Jacquette,Katherine Porter,Undirected,3
Pat Steir,Katherine Porter,Undirected,3
Lynda Benglis,Katherine Porter,Undirected,1
Joan Jonas,Katherine Porter,Undirected,1
Hermine Freed,Katherine Porter,Undirected,1
Alexis Smith,Katherine Porter,Undirected,1
Jennifer Bartlett,Katherine Porter,Undirected,2
Susan Rothenberg,Katherine Porter,Undirected,4
Jackie Ferrara,Katherine Porter,Undirected,1
Olga Rozanova,Katherine Porter,Undirected,1
Lois Lane,Katherine Porter,Undirected,3
Judy Pfaff,Katherine Porter,Undirected,1
Elizabeth Butterworth,Katherine Porter,Undirected,1
Joan Snyder,Katherine Porter,Undirected,1
Louisa Chase,Katherine Porter,Undirected,1
Elizabeth Murray,Katherine Porter,Undirected,4
Alice Adams,Katherine Porter,Undirected,1
Ida Applebroog,Katherine Porter,Undirected,1
Miriam Cahn,Katherine Porter,Undirected,2
Barbara Kruger,Katherine Porter,Undirected,1
Jill Moser,Katherine Porter,Undirected,1
Joan Jonas,Shirley Clarke,Undirected,2
Trisha Brown,Shirley Clarke,Undirected,1
Shigeko Kubota,Shirley Clarke,Undirected,1
Laurie Anderson,Shirley Clarke,Undirected,2
Joan Logue,Shirley Clarke,Undirected,1
Mako Idemitsu,Shirley Clarke,Undirected,1
Max Almy,Shirley Clarke,Undirected,1
Toni Basil,Shirley Clarke,Undirected,1
Vera Frenkel,Shirley Clarke,Undirected,1
Dara Birnbaum,Shirley Clarke,Undirected,1
Marina Abramovic,Shirley Clarke,Undirected,1
Ilene Segalove,Shirley Clarke,Undirected,1
Joelle de la Casiniere,Shirley Clarke,Undirected,1
Mary Lucier,Shirley Clarke,Undirected,1
Martha Rosler,Shirley Clarke,Undirected,1
Sanja Ivekovic,Shirley Clarke,Undirected,1
Branda Miller,Shirley Clarke,Undirected,1
Daniele Nyst,Shirley Clarke,Undirected,1
Lisa Steele,Jane Veeder,Undirected,1
Dana Atchley,Jane Veeder,Undirected,1
Max Almy,Jane Veeder,Undirected,1
Vera Frenkel,Jane Veeder,Undirected,1
Marina Abramovic,Jane Veeder,Undirected,1
Joelle de la Casiniere,Jane Veeder,Undirected,1
Mary Lucier,Jane Veeder,Undirected,1
Joan Jonas,Toni Basil,Undirected,1
Trisha Brown,Toni Basil,Undirected,1
Laurie Anderson,Toni Basil,Undirected,1
Max Almy,Toni Basil,Undirected,1
Shirley Clarke,Toni Basil,Undirected,1
Vera Frenkel,Toni Basil,Undirected,1
Joan Jonas,Vera Frenkel,Undirected,1
Trisha Brown,Vera Frenkel,Undirected,1
Lisa Steele,Vera Frenkel,Undirected,1
Laurie Anderson,Vera Frenkel,Undirected,1
Dana Atchley,Vera Frenkel,Undirected,1
Max Almy,Vera Frenkel,Undirected,2
Shirley Clarke,Vera Frenkel,Undirected,1
Jane Veeder,Vera Frenkel,Undirected,1
Toni Basil,Vera Frenkel,Undirected,1
Marina Abramovic,Vera Frenkel,Undirected,1
Joelle de la Casiniere,Vera Frenkel,Undirected,1
Mary Lucier,Vera Frenkel,Undirected,1
Liza Bear,Sherrie Rabinowitz,Undirected,1
Eleanor Antin,Dara Birnbaum,Undirected,1
Ulrike Rosenbach,Dara Birnbaum,Undirected,1
Joan Jonas,Dara Birnbaum,Undirected,3
Shigeko Kubota,Dara Birnbaum,Undirected,2
Lisa Steele,Dara Birnbaum,Undirected,1
Steina Vesulka,Dara Birnbaum,Undirected,2
Laurie Anderson,Dara Birnbaum,Undirected,1
Barbara Buckner,Dara Birnbaum,Undirected,1
Joan Logue,Dara Birnbaum,Undirected,2
Susan Raymond,Dara Birnbaum,Undirected,1
Keiko Tsuno,Dara Birnbaum,Undirected,1
Mako Idemitsu,Dara Birnbaum,Undirected,1
Max Almy,Dara Birnbaum,Undirected,1
Shirley Clarke,Dara Birnbaum,Undirected,1
Marina Abramovic,Dara Birnbaum,Undirected,2
Ardele Lister,Dara Birnbaum,Undirected,1
Ilene Segalove,Dara Birnbaum,Undirected,1
Joelle de la Casiniere,Dara Birnbaum,Undirected,1
Mary Lucier,Dara Birnbaum,Undirected,1
Martha Rosler,Dara Birnbaum,Undirected,2
Sanja Ivekovic,Dara Birnbaum,Undirected,1
Branda Miller,Dara Birnbaum,Undirected,1
Carole Klonarides,Dara Birnbaum,Undirected,1
Daniele Nyst,Dara Birnbaum,Undirected,1
Vanalyne Green,Dara Birnbaum,Undirected,1
Rebecca Horn,Marina Abramovic,Undirected,1
Ulrike Rosenbach,Marina Abramovic,Undirected,3
Joan Jonas,Marina Abramovic,Undirected,2
Shigeko Kubota,Marina Abramovic,Undirected,1
Friederike Pezold,Marina Abramovic,Undirected,1
Lisa Steele,Marina Abramovic,Undirected,3
Steina Vesulka,Marina Abramovic,Undirected,1
Laurie Anderson,Marina Abramovic,Undirected,2
Joan Logue,Marina Abramovic,Undirected,1
Susan Raymond,Marina Abramovic,Undirected,1
Dana Atchley,Marina Abramovic,Undirected,1
Mako Idemitsu,Marina Abramovic,Undirected,2
Max Almy,Marina Abramovic,Undirected,2
Nancy Buchanan,Marina Abramovic,Undirected,1
Ros Barron,Marina Abramovic,Undirected,1
Shirley Clarke,Marina Abramovic,Undirected,1
Jane Veeder,Marina Abramovic,Undirected,1
Vera Frenkel,Marina Abramovic,Undirected,1
Dara Birnbaum,Marina Abramovic,Undirected,2
Barbara Hammann,Marina Abramovic,Undirected,1
Ardele Lister,Marina Abramovic,Undirected,1
Ilene Segalove,Marina Abramovic,Undirected,1
Joelle de la Casiniere,Marina Abramovic,Undirected,3
Mary Lucier,Marina Abramovic,Undirected,2
Martha Rosler,Marina Abramovic,Undirected,1
Elsa Cayo,Marina Abramovic,Undirected,1
Cecelia Condit,Marina Abramovic,Undirected,1
Madelon Hooykaas,Marina Abramovic,Undirected,1
Sanja Ivekovic,Marina Abramovic,Undirected,2
Danielle Jaeggi,Marina Abramovic,Undirected,1
Naoko Karotsuka,Marina Abramovic,Undirected,1
Branda Miller,Marina Abramovic,Undirected,2
Elsa Stansfield,Marina Abramovic,Undirected,1
Claudia Von Alemann,Marina Abramovic,Undirected,1
Daniele Nyst,Marina Abramovic,Undirected,1
Vanalyne Green,Marina Abramovic,Undirected,1
Rebecca Horn,Barbara Hammann,Undirected,1
Ulrike Rosenbach,Barbara Hammann,Undirected,1
Friederike Pezold,Barbara Hammann,Undirected,1
Marina Abramovic,Barbara Hammann,Undirected,1
Kathe Kollwitz,Maria Bonomi,Undirected,1
Anne Ryan,Maria Bonomi,Undirected,1
Worden Day,Maria Bonomi,Undirected,1
Carol Summers,Maria Bonomi,Undirected,1
Alice Trumbull Mason,Maria Bonomi,Undirected,1
Helen Frankenthaler,Maria Bonomi,Undirected,1
Jennifer Bartlett,Maria Bonomi,Undirected,1
Susan Rothenberg,Maria Bonomi,Undirected,1
Vera Ermolaeva,Maria Bonomi,Undirected,1
Louisa Chase,Maria Bonomi,Undirected,1
Martha Diamond,Maria Bonomi,Undirected,1
Lill Tschudi,Maria Bonomi,Undirected,1
Jan Groover,Kathleen Agnoli,Undirected,1
Kim Steele,Kathleen Agnoli,Undirected,1
Barbara Kasten,Kathleen Agnoli,Undirected,1
Tina Barney,Kathleen Agnoli,Undirected,1
Barbara Crane,Kathleen Agnoli,Undirected,1
Nancy Hellebrand,Kathleen Agnoli,Undirected,1
Esther Parada,Kathleen Agnoli,Undirected,1
Cindy Sherman,Kathleen Agnoli,Undirected,1
JoAnn Verburg,Kathleen Agnoli,Undirected,1
Helen Levitt,Tina Barney,Undirected,2
Diane Arbus,Tina Barney,Undirected,2
Jan Groover,Tina Barney,Undirected,3
Kim Steele,Tina Barney,Undirected,1
Barbara Kasten,Tina Barney,Undirected,1
Kathleen Agnoli,Tina Barney,Undirected,1
Barbara Crane,Tina Barney,Undirected,1
Nancy Hellebrand,Tina Barney,Undirected,1
Esther Parada,Tina Barney,Undirected,1
Cindy Sherman,Tina Barney,Undirected,3
JoAnn Verburg,Tina Barney,Undirected,1
Judith Joy Ross,Tina Barney,Undirected,2
Wendy MacNeil,Tina Barney,Undirected,2
Jan Groover,Barbara Crane,Undirected,1
Kim Steele,Barbara Crane,Undirected,1
Barbara Kasten,Barbara Crane,Undirected,1
Kathleen Agnoli,Barbara Crane,Undirected,1
Tina Barney,Barbara Crane,Undirected,1
Nancy Hellebrand,Barbara Crane,Undirected,1
Esther Parada,Barbara Crane,Undirected,1
Cindy Sherman,Barbara Crane,Undirected,1
JoAnn Verburg,Barbara Crane,Undirected,1
Lynda Benglis,Nancy Hellebrand,Undirected,1
Jennifer Bartlett,Nancy Hellebrand,Undirected,1
Susan Rothenberg,Nancy Hellebrand,Undirected,1
Jan Groover,Nancy Hellebrand,Undirected,1
Colleen Frances Kenyon,Nancy Hellebrand,Undirected,1
Kim Steele,Nancy Hellebrand,Undirected,1
Joan Snyder,Nancy Hellebrand,Undirected,1
Barbara Kasten,Nancy Hellebrand,Undirected,1
Kathleen Agnoli,Nancy Hellebrand,Undirected,1
Tina Barney,Nancy Hellebrand,Undirected,1
Barbara Crane,Nancy Hellebrand,Undirected,1
Esther Parada,Nancy Hellebrand,Undirected,1
Cindy Sherman,Nancy Hellebrand,Undirected,1
JoAnn Verburg,Nancy Hellebrand,Undirected,2
Judith Joy Ross,Nancy Hellebrand,Undirected,1
Deborah Fleming Caffery,Nancy Hellebrand,Undirected,1
Christine Osinski,Nancy Hellebrand,Undirected,1
Sheron Rupp,Nancy Hellebrand,Undirected,1
America Sanchez,Nancy Hellebrand,Undirected,1
Jan Groover,Esther Parada,Undirected,1
Kim Steele,Esther Parada,Undirected,1
Barbara Kasten,Esther Parada,Undirected,1
Kathleen Agnoli,Esther Parada,Undirected,1
Tina Barney,Esther Parada,Undirected,1
Barbara Crane,Esther Parada,Undirected,1
Nancy Hellebrand,Esther Parada,Undirected,1
Cindy Sherman,Esther Parada,Undirected,1
JoAnn Verburg,Esther Parada,Undirected,1
Berenice Abbott,Cindy Sherman,Undirected,1
Ilse Bing,Cindy Sherman,Undirected,1
Imogen Cunningham,Cindy Sherman,Undirected,1
Helen Levitt,Cindy Sherman,Undirected,2
Diane Arbus,Cindy Sherman,Undirected,2
Jan Groover,Cindy Sherman,Undirected,4
Carol Block Taback,Cindy Sherman,Undirected,1
Kim Steele,Cindy Sherman,Undirected,1
Barbara Kasten,Cindy Sherman,Undirected,1
Kathleen Agnoli,Cindy Sherman,Undirected,1
Tina Barney,Cindy Sherman,Undirected,3
Barbara Crane,Cindy Sherman,Undirected,1
Nancy Hellebrand,Cindy Sherman,Undirected,1
Esther Parada,Cindy Sherman,Undirected,1
JoAnn Verburg,Cindy Sherman,Undirected,1
Jo Ann Callis,Cindy Sherman,Undirected,1
Patricia Jon Carroll,Cindy Sherman,Undirected,1
Sandra Haber,Cindy Sherman,Undirected,1
Lorie Novak,Cindy Sherman,Undirected,1
Anne Turyn,Cindy Sherman,Undirected,1
Jo Ann Walters,Cindy Sherman,Undirected,1
Judith Joy Ross,Cindy Sherman,Undirected,2
Nan Goldin,Cindy Sherman,Undirected,1
Sandra Semchuk,Cindy Sherman,Undirected,1
Wanda Wulz,Cindy Sherman,Undirected,1
Wendy MacNeil,Cindy Sherman,Undirected,2
Jan Groover,JoAnn Verburg,Undirected,1
Colleen Frances Kenyon,JoAnn Verburg,Undirected,1
Kim Steele,JoAnn Verburg,Undirected,1
Barbara Kasten,JoAnn Verburg,Undirected,1
Kathleen Agnoli,JoAnn Verburg,Undirected,1
Tina Barney,JoAnn Verburg,Undirected,1
Barbara Crane,JoAnn Verburg,Undirected,1
Nancy Hellebrand,JoAnn Verburg,Undirected,2
Esther Parada,JoAnn Verburg,Undirected,1
Cindy Sherman,JoAnn Verburg,Undirected,1
Judith Joy Ross,JoAnn Verburg,Undirected,1
Deborah Fleming Caffery,JoAnn Verburg,Undirected,1
Christine Osinski,JoAnn Verburg,Undirected,1
Sheron Rupp,JoAnn Verburg,Undirected,1
America Sanchez,JoAnn Verburg,Undirected,1
Deanna Kamiel,Lynn Adler,Undirected,1
Michelle Parkerson,Lynn Adler,Undirected,1
Ulrike Rosenbach,Ardele Lister,Undirected,1
Joan Jonas,Ardele Lister,Undirected,1
Lisa Steele,Ardele Lister,Undirected,1
Steina Vesulka,Ardele Lister,Undirected,1
Susan Raymond,Ardele Lister,Undirected,1
Dara Birnbaum,Ardele Lister,Undirected,1
Marina Abramovic,Ardele Lister,Undirected,1
Anne Ramsden,Ardele Lister,Undirected,1
Ilene Segalove,Ardele Lister,Undirected,1
Vanalyne Green,Ardele Lister,Undirected,1
Ardele Lister,Anne Ramsden,Undirected,1
Ilene Segalove,Anne Ramsden,Undirected,1
Sara Diamond,Anne Ramsden,Undirected,1
Jeanette Reinhardt,Anne Ramsden,Undirected,1
Joan Jonas,Ilene Segalove,Undirected,1
Shigeko Kubota,Ilene Segalove,Undirected,1
Laurie Anderson,Ilene Segalove,Undirected,1
Joan Logue,Ilene Segalove,Undirected,1
Mako Idemitsu,Ilene Segalove,Undirected,1
Nancy Buchanan,Ilene Segalove,Undirected,1
Shirley Clarke,Ilene Segalove,Undirected,1
Dara Birnbaum,Ilene Segalove,Undirected,1
Marina Abramovic,Ilene Segalove,Undirected,1
Ardele Lister,Ilene Segalove,Undirected,1
Anne Ramsden,Ilene Segalove,Undirected,1
Joelle de la Casiniere,Ilene Segalove,Undirected,1
Mary Lucier,Ilene Segalove,Undirected,1
Martha Rosler,Ilene Segalove,Undirected,1
Sanja Ivekovic,Ilene Segalove,Undirected,1
Branda Miller,Ilene Segalove,Undirected,2
Sara Diamond,Ilene Segalove,Undirected,1
Mickey McGowan,Ilene Segalove,Undirected,1
Daniele Nyst,Ilene Segalove,Undirected,1
Lyubov Popova,Elizabeth Murray,Undirected,1
Hannah Hoch,Elizabeth Murray,Undirected,1
Joanna Pousette-Dart,Elizabeth Murray,Undirected,1
Agnes Martin,Elizabeth Murray,Undirected,2
Magdalena Abakanowicz,Elizabeth Murray,Undirected,2
Hanne Darboven,Elizabeth Murray,Undirected,1
Dorothea Rockburne,Elizabeth Murray,Undirected,2
Yvonne Jacquette,Elizabeth Murray,Undirected,2
Pat Steir,Elizabeth Murray,Undirected,2
Ree Morton,Elizabeth Murray,Undirected,1
Alexis Smith,Elizabeth Murray,Undirected,1
Jennifer Bartlett,Elizabeth Murray,Undirected,2
Susan Rothenberg,Elizabeth Murray,Undirected,3
Ellen Phelan,Elizabeth Murray,Undirected,1
Jackie Ferrara,Elizabeth Murray,Undirected,1
Olga Rozanova,Elizabeth Murray,Undirected,1
Lois Lane,Elizabeth Murray,Undirected,2
Judy Pfaff,Elizabeth Murray,Undirected,1
Elizabeth Butterworth,Elizabeth Murray,Undirected,1
Louisa Chase,Elizabeth Murray,Undirected,2
Katherine Porter,Elizabeth Murray,Undirected,4
Alice Adams,Elizabeth Murray,Undirected,1
Ida Applebroog,Elizabeth Murray,Undirected,1
Miriam Cahn,Elizabeth Murray,Undirected,2
Rosemarie Trockel,Elizabeth Murray,Undirected,1
Ulrike Rosenbach,Joelle de la Casiniere,Undirected,1
Joan Jonas,Joelle de la Casiniere,Undirected,1
Shigeko Kubota,Joelle de la Casiniere,Undirected,1
Lisa Steele,Joelle de la Casiniere,Undirected,2
Laurie Anderson,Joelle de la Casiniere,Undirected,2
Joan Logue,Joelle de la Casiniere,Undirected,1
Dana Atchley,Joelle de la Casiniere,Undirected,1
Mako Idemitsu,Joelle de la Casiniere,Undirected,2
Max Almy,Joelle de la Casiniere,Undirected,2
Nancy Buchanan,Joelle de la Casiniere,Undirected,1
Ros Barron,Joelle de la Casiniere,Undirected,1
Shirley Clarke,Joelle de la Casiniere,Undirected,1
Jane Veeder,Joelle de la Casiniere,Undirected,1
Vera Frenkel,Joelle de la Casiniere,Undirected,1
Dara Birnbaum,Joelle de la Casiniere,Undirected,1
Marina Abramovic,Joelle de la Casiniere,Undirected,3
Ilene Segalove,Joelle de la Casiniere,Undirected,1
Mary Lucier,Joelle de la Casiniere,Undirected,2
Martha Rosler,Joelle de la Casiniere,Undirected,1
Elsa Cayo,Joelle de la Casiniere,Undirected,1
Cecelia Condit,Joelle de la Casiniere,Undirected,1
Madelon Hooykaas,Joelle de la Casiniere,Undirected,1
Sanja Ivekovic,Joelle de la Casiniere,Undirected,2
Danielle Jaeggi,Joelle de la Casiniere,Undirected,1
Naoko Karotsuka,Joelle de la Casiniere,Undirected,1
Branda Miller,Joelle de la Casiniere,Undirected,2
Elsa Stansfield,Joelle de la Casiniere,Undirected,1
Claudia Von Alemann,Joelle de la Casiniere,Undirected,1
Daniele Nyst,Joelle de la Casiniere,Undirected,1
Joan Jonas,Mary Lucier,Undirected,1
Shigeko Kubota,Mary Lucier,Undirected,1
Lisa Steele,Mary Lucier,Undirected,1
Laurie Anderson,Mary Lucier,Undirected,1
Joan Logue,Mary Lucier,Undirected,1
Dana Atchley,Mary Lucier,Undirected,1
Mako Idemitsu,Mary Lucier,Undirected,1
Max Almy,Mary Lucier,Undirected,1
Shirley Clarke,Mary Lucier,Undirected,1
Jane Veeder,Mary Lucier,Undirected,1
Vera Frenkel,Mary Lucier,Undirected,1
Dara Birnbaum,Mary Lucier,Undirected,1
Marina Abramovic,Mary Lucier,Undirected,2
Ilene Segalove,Mary Lucier,Undirected,1
Joelle de la Casiniere,Mary Lucier,Undirected,2
Martha Rosler,Mary Lucier,Undirected,1
Sanja Ivekovic,Mary Lucier,Undirected,1
Branda Miller,Mary Lucier,Undirected,1
Daniele Nyst,Mary Lucier,Undirected,1
Louise Bourgeois,Martha Rosler,Undirected,1
Miriam Schapiro,Martha Rosler,Undirected,1
Marisol (Marisol Escobar),Martha Rosler,Undirected,1
Adrian Piper,Martha Rosler,Undirected,1
Eleanor Antin,Martha Rosler,Undirected,1
Joan Jonas,Martha Rosler,Undirected,2
Mary Frank,Martha Rosler,Undirected,1
Shigeko Kubota,Martha Rosler,Undirected,2
Steina Vesulka,Martha Rosler,Undirected,1
Laurie Anderson,Martha Rosler,Undirected,1
Barbara Buckner,Martha Rosler,Undirected,1
Joan Logue,Martha Rosler,Undirected,2
Keiko Tsuno,Martha Rosler,Undirected,1
Mako Idemitsu,Martha Rosler,Undirected,1
Max Almy,Martha Rosler,Undirected,1
Margia Kramer,Martha Rosler,Undirected,1
Shirley Clarke,Martha Rosler,Undirected,1
Dara Birnbaum,Martha Rosler,Undirected,2
Marina Abramovic,Martha Rosler,Undirected,1
Ilene Segalove,Martha Rosler,Undirected,1
Joelle de la Casiniere,Martha Rosler,Undirected,1
Mary Lucier,Martha Rosler,Undirected,1
Jane Dickson,Martha Rosler,Undirected,1
Ida Applebroog,Martha Rosler,Undirected,1
Sanja Ivekovic,Martha Rosler,Undirected,1
Branda Miller,Martha Rosler,Undirected,1
Nancy Spero,Martha Rosler,Undirected,1
Barbara Kruger,Martha Rosler,Undirected,1
Daniele Nyst,Martha Rosler,Undirected,1
Emma Amos,Martha Rosler,Undirected,1
Elizabeth Catlett,Martha Rosler,Undirected,1
Judy Chicago,Martha Rosler,Undirected,1
Eva Cockcroft,Martha Rosler,Undirected,1
Sue Coe,Martha Rosler,Undirected,1
Mary Beth Edelson,Martha Rosler,Undirected,1
Jenny Holzer,Martha Rosler,Undirected,1
Rebecca Howland,Martha Rosler,Undirected,1
Yong Soon Min,Martha Rosler,Undirected,1
Faith Ringgold,Martha Rosler,Undirected,1
Mimi Smith,Martha Rosler,Undirected,1
May Stevens,Martha Rosler,Undirected,1
Helen Frankenthaler,Genevieve Asse,Undirected,1
Bridget Riley,Genevieve Asse,Undirected,1
Susan Rothenberg,Genevieve Asse,Undirected,1
Jane Dickson,Genevieve Asse,Undirected,1
Louise Bourgeois,Jane Dickson,Undirected,1
Helen Frankenthaler,Jane Dickson,Undirected,1
Miriam Schapiro,Jane Dickson,Undirected,1
Marisol (Marisol Escobar),Jane Dickson,Undirected,1
Bridget Riley,Jane Dickson,Undirected,1
Adrian Piper,Jane Dickson,Undirected,1
Mary Frank,Jane Dickson,Undirected,1
Susan Rothenberg,Jane Dickson,Undirected,1
Margia Kramer,Jane Dickson,Undirected,1
Martha Rosler,Jane Dickson,Undirected,1
Genevieve Asse,Jane Dickson,Undirected,1
Ida Applebroog,Jane Dickson,Undirected,1
Nancy Spero,Jane Dickson,Undirected,1
Barbara Kruger,Jane Dickson,Undirected,1
Emma Amos,Jane Dickson,Undirected,1
Elizabeth Catlett,Jane Dickson,Undirected,1
Judy Chicago,Jane Dickson,Undirected,1
Eva Cockcroft,Jane Dickson,Undirected,1
Sue Coe,Jane Dickson,Undirected,1
Mary Beth Edelson,Jane Dickson,Undirected,1
Jenny Holzer,Jane Dickson,Undirected,1
Rebecca Howland,Jane Dickson,Undirected,1
Yong Soon Min,Jane Dickson,Undirected,1
Faith Ringgold,Jane Dickson,Undirected,1
Mimi Smith,Jane Dickson,Undirected,1
May Stevens,Jane Dickson,Undirected,1
Magdalena Abakanowicz,Alice Adams,Undirected,1
Yvonne Jacquette,Alice Adams,Undirected,1
Alexis Smith,Alice Adams,Undirected,1
Susan Rothenberg,Alice Adams,Undirected,1
Judy Pfaff,Alice Adams,Undirected,1
Elizabeth Butterworth,Alice Adams,Undirected,1
Louisa Chase,Alice Adams,Undirected,1
Katherine Porter,Alice Adams,Undirected,1
Elizabeth Murray,Alice Adams,Undirected,1
Ida Applebroog,Alice Adams,Undirected,1
Miriam Cahn,Alice Adams,Undirected,1
Peggy Bacon,Ida Applebroog,Undirected,2
Marguerite Zorach,Ida Applebroog,Undirected,1
Mabel Dwight,Ida Applebroog,Undirected,1
Meret Oppenheim,Ida Applebroog,Undirected,1
Anne Ryan,Ida Applebroog,Undirected,1
Louise Bourgeois,Ida Applebroog,Undirected,2
Dorothy Dehner,Ida Applebroog,Undirected,1
Miriam Schapiro,Ida Applebroog,Undirected,1
Louise Nevelson,Ida Applebroog,Undirected,2
Marisol (Marisol Escobar),Ida Applebroog,Undirected,1
Magdalena Abakanowicz,Ida Applebroog,Undirected,1
Adrian Piper,Ida Applebroog,Undirected,1
Nancy Graves,Ida Applebroog,Undirected,2
Yvonne Jacquette,Ida Applebroog,Undirected,1
Pat Steir,Ida Applebroog,Undirected,2
Mary Frank,Ida Applebroog,Undirected,1
Alexis Smith,Ida Applebroog,Undirected,1
Susan Rothenberg,Ida Applebroog,Undirected,1
Judy Pfaff,Ida Applebroog,Undirected,1
Elizabeth Butterworth,Ida Applebroog,Undirected,1
Louisa Chase,Ida Applebroog,Undirected,1
Margia Kramer,Ida Applebroog,Undirected,1
Katherine Porter,Ida Applebroog,Undirected,1
Elizabeth Murray,Ida Applebroog,Undirected,1
Martha Rosler,Ida Applebroog,Undirected,1
Jane Dickson,Ida Applebroog,Undirected,1
Alice Adams,Ida Applebroog,Undirected,1
Miriam Cahn,Ida Applebroog,Undirected,1
Carolina Nitsch,Ida Applebroog,Undirected,1
Nancy Spero,Ida Applebroog,Undirected,1
Barbara Kruger,Ida Applebroog,Undirected,1
Emma Amos,Ida Applebroog,Undirected,1
Elizabeth Catlett,Ida Applebroog,Undirected,1
Judy Chicago,Ida Applebroog,Undirected,1
Eva Cockcroft,Ida Applebroog,Undirected,1
Sue Coe,Ida Applebroog,Undirected,1
Mary Beth Edelson,Ida Applebroog,Undirected,1
Jenny Holzer,Ida Applebroog,Undirected,1
Rebecca Howland,Ida Applebroog,Undirected,1
Yong Soon Min,Ida Applebroog,Undirected,1
Faith Ringgold,Ida Applebroog,Undirected,1
Mimi Smith,Ida Applebroog,Undirected,1
May Stevens,Ida Applebroog,Undirected,1
Lyubov Popova,Miriam Cahn,Undirected,1
Sophie Taeuber-Arp,Miriam Cahn,Undirected,1
Helen Frankenthaler,Miriam Cahn,Undirected,1
Magdalena Abakanowicz,Miriam Cahn,Undirected,1
Yvonne Jacquette,Miriam Cahn,Undirected,1
Rebecca Horn,Miriam Cahn,Undirected,1
Alexis Smith,Miriam Cahn,Undirected,1
Susan Rothenberg,Miriam Cahn,Undirected,3
Ellen Phelan,Miriam Cahn,Undirected,1
Olga Rozanova,Miriam Cahn,Undirected,1
Judy Pfaff,Miriam Cahn,Undirected,1
Elizabeth Butterworth,Miriam Cahn,Undirected,1
Louisa Chase,Miriam Cahn,Undirected,1
Katherine Porter,Miriam Cahn,Undirected,2
Elizabeth Murray,Miriam Cahn,Undirected,2
Alice Adams,Miriam Cahn,Undirected,1
Ida Applebroog,Miriam Cahn,Undirected,1
Jill Moser,Miriam Cahn,Undirected,1
Rosemarie Trockel,Miriam Cahn,Undirected,1
Anna Blume,Miriam Cahn,Undirected,1
Joan Nelson,Miriam Cahn,Undirected,1
Ulrike Rosenbach,Elsa Cayo,Undirected,1
Lisa Steele,Elsa Cayo,Undirected,1
Laurie Anderson,Elsa Cayo,Undirected,1
Mako Idemitsu,Elsa Cayo,Undirected,1
Max Almy,Elsa Cayo,Undirected,1
Nancy Buchanan,Elsa Cayo,Undirected,1
Ros Barron,Elsa Cayo,Undirected,1
Marina Abramovic,Elsa Cayo,Undirected,1
Joelle de la Casiniere,Elsa Cayo,Undirected,1
Cecelia Condit,Elsa Cayo,Undirected,1
